Date,Campaign,Campaign_id,Ad_group,channels,Business_Contact,Region,Spend,Sales,Visits,Clicks,Impressions
2024-12-28,Physical Wellness,15543678,Vc_Get_Fit_Stay_Strong,TV,B2C,West,74229.685,12380.1643,122,131,4.7
2024-02-13,Mental Wellness,15543645,Vc_Calm_Mind_Happy_Life,Social,B2C,South,57653.7924,50002.443,1710,1808,72.0
2024-02-21,Mental Wellness,15543645,Img_Mental_Clarity_Journal,Print,B2C,South,45751.6168,74858.9304,349,364,13.8
2024-02-15,Weight Management,15543636,Vc_Weight_Goals_Tracker,Social,B2B,East,8266.9244,10720.4394,1531,1543,64.5
2024-12-14,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,West,97479.6343,24662.9118,512,561,16.4
2024-04-29,Environmental Wellness,15543690,Vc_Go_Green_Live_Clean,TV,B2C,South,24009.4315,9765.5024,100,102,5.4
2024-05-28,Weight Management,15543636,Img_Nutrition_&_Fitness_Tips,Print,B2B,South,86928.8756,303.7305,393,427,13.2
2024-03-28,Mental Wellness,15543645,Img_Stress-Free_Living_Course,Digital,B2C,East,37959.873,111424.5019,2183,2265,106.0
2024-08-05,Physical Wellness,15543678,Vc_Move_More_Live_More,Social,B2C,East,68425.2555,112529.7755,1835,1960,78.0
2024-07-25,Environmental Wellness,15543690,Audio_Nature_First,Radio,B2C,South,45467.5583,28512.7363,476,497,21.6
2024-12-03,Spiritual Wellness,15543672,Audio_Soulful_Reflections,Radio,B2B,West,35480.8589,68060.4932,436,451,16.4
2024-11-06,Physical Wellness,15543678,Audio_Power_Up_Your_Health,Radio,B2C,North,61469.0746,104823.038,485,514,13.6
2024-09-25,Environmental Wellness,15543690,Vc_Sustainable_Life_Hacks,Social,B2C,West,53657.031,46567.7299,1884,1985,63.0
2024-05-25,Mental Wellness,15543645,Img_Stress-Free_Living_Course,Digital,B2C,East,23319.9975,82551.5373,2135,2184,92.0
2024-09-01,Weight Management,15543636,Img_Nutrition_&_Fitness_Tips,Print,B2B,South,33690.5557,101513.9737,320,330,16.8
2024-04-18,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,East,3534.2412,50797.5869,102,102,5.1
2024-02-08,Spiritual Wellness,15543672,Img_Find_Your_Purpose_Webinar,Digital,B2B,South,19439.0045,97447.8948,2095,2135,116.0
2024-09-15,Physical Wellness,15543678,Vc_Move_More_Live_More,Social,B2C,South,33649.7176,24622.2369,1674,1730,72.0
2024-12-12,Weight Management,15543636,Img_Nutrition_&_Fitness_Tips,Print,B2B,North,97214.9188,133975.8892,394,432,15.3
2024-09-27,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,East,52756.1846,101820.6651,114,120,4.1
2024-01-11,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,North,70109.5426,113476.445,367,392,15.0
2024-12-18,Social Wellness,15543612,Vc_Stronger_Together,TV,B2C,West,67392.6766,734.4874,116,123,4.6
2024-10-09,Mental Wellness,15543645,Vc_Mind_Matters,TV,B2C,East,98090.7041,98960.3131,126,138,5.7
2024-05-23,Physical Wellness,15543678,Audio_Power_Up_Your_Health,Radio,B2C,North,55610.9614,51282.1404,466,491,16.4
2024-08-03,Weight Management,15543636,Vc_Weight_Goals_Tracker,Social,B2B,East,58590.8933,78218.522,1627,1722,63.0
2024-03-14,Social Wellness,15543612,Img_Building_Connections_Hub,Digital,B2C,North,30077.0107,9729.3193,2101,2164,88.0
2024-08-01,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,North,62649.1718,31155.2844,500,531,18.0
2024-11-30,Physical Wellness,15543678,Audio_Power_Up_Your_Health,Radio,B2C,East,75796.6698,48530.7872,481,517,22.8
2024-10-26,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,West,10415.0127,75613.7853,300,303,13.5
2024-07-07,Weight Management,15543636,Vc_Smart_Weight_Loss,TV,B2B,North,48064.4605,68634.6406,123,128,5.5
2024-05-13,Mental Wellness,15543645,Vc_Mind_Matters,TV,B2C,North,42247.8304,1891.2355,111,115,5.5
2024-01-05,Physical Wellness,15543678,Img_Healthy_Habits_Guide,Print,B2C,East,11447.0915,35463.9992,305,308,14.7
